conversations
"[{'content': 'ما هو عنوان الكتاب الذي يظهر في طبعته الثانية؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف الكتاب الذي يظهر في طبعته الأولى؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما عنوان الكتاب الظاهر في الصورة وهل هو مترجم للغة العربية أم أنه كتب بالعربية؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو المجال الذي يناقشه هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'في الصورة يظهر كتاب الخيميائي، لأي طبعة تعود هذه النسخة', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو عنوان هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو عنوان هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مترجم هذا الكتاب؟', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من قام بتنفيذ الرسوم للكتاب الظاهر في الصورة', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف هذا الكتاب وهل كتب بالعربية أم عُرّب؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما هو موضوع الكتاب الظاهر في الصورة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'عن أي دار نشر صدر الكتاب الظاهر في الصورة وفي أي مدينة؟', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'إلى من وُجهت الرسائل الكاتبة في الكتاب الظاهر في الصورة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من هو مترجم هذا الكتاب؟', 'role': 'user'}
 {'content': 'د', 'role': 'assistant'}]"
"[{'content': 'ما نوع هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'عن أي دار نشر صدر الكتاب الظاهر في الصورة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما هو عنوان هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما المشترك بين الكتابين الظاهرين في الصورة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'هلا الكتب في الصورة لنفس الكاتبة', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'تظهر الصورة عدة كتب، واحد منها فقط لمؤلف مختلف عن مؤلف الكتب الأخرى، ما عنوان ذلك الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف هذا الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بخلاف دار النشر، ما المشترك بين الكتب الظاهرة في الصورة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'تظهر الصورة عدة كتب، واحد منها فقط لمؤلف مختلف عن مؤلف الكتب الأخرى، ما عنوان ذلك الكتاب؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف الكتاب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
